1638290670.735199 client started (15012): version 3.2a, socket /private/tmp/tmux-502/default, protocol 8
1638290670.735274 on Darwin 21.1.0 Darwin Kernel Version 21.1.0: Wed Oct 13 17:33:23 PDT 2021; root:xnu-8019.41.5~1/RELEASE_X86_64
1638290670.735303 using libevent 2.1.12-stable (select); utf8proc 2.6.1; ncurses 6.2
1638290670.739891 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.739899 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.739907 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.739916 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.739925 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.739931 sending message 112 to peer 0x7feb2a831000 (10 bytes)
1638290670.739937 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.739943 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.739950 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.739957 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.739965 sending message 112 to peer 0x7feb2a831000 (10 bytes)
1638290670.739973 sending message 112 to peer 0x7feb2a831000 (10 bytes)
1638290670.739981 sending message 112 to peer 0x7feb2a831000 (10 bytes)
1638290670.739988 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.739995 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.740002 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.740009 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.740018 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.740024 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.740033 sending message 112 to peer 0x7feb2a831000 (10 bytes)
1638290670.740041 sending message 112 to peer 0x7feb2a831000 (11 bytes)
1638290670.740049 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.740057 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.740065 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.740074 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.740081 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.740088 sending message 112 to peer 0x7feb2a831000 (11 bytes)
1638290670.740096 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.740103 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.740110 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.740117 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.740123 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.740132 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.740138 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.740145 sending message 112 to peer 0x7feb2a831000 (10 bytes)
1638290670.740152 sending message 112 to peer 0x7feb2a831000 (9 bytes)
1638290670.740160 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.740167 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.740175 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.740199 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.740207 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.740214 sending message 112 to peer 0x7feb2a831000 (13 bytes)
1638290670.740221 sending message 112 to peer 0x7feb2a831000 (9 bytes)
1638290670.740228 sending message 112 to peer 0x7feb2a831000 (12 bytes)
1638290670.740235 sending message 112 to peer 0x7feb2a831000 (13 bytes)
